卦別爻號,卦別,卦圖,卦爻辭,象辭,彖辭,卦爻辭解讀-傅佩榮
乾,乾為天,䷀,乾：元，亨，利，貞。,象曰：天行健，君子以自強不息。,彖曰：大哉乾元，萬物資始，乃統天。雲行雨施，品物流形。大明始終，六位時成，時乘六龍以御天。乾道變化，各正性命，保合大和，乃利貞。首出庶物，萬國咸寧。,"【白話】
乾卦。創始、通達、合宜、正固。
【解讀】
•《易經》有六十四卦，每一卦都是先畫出卦圖，再標出卦名。卦
圖由六爻組成，爻有陰陽之分。所謂六爻，其實是
由兩個單卦（各有三爻）所合成。本卦稱 乾卦（下乾上乾），六
爻皆陽，陽有剛健之意，象徵原始的生命力，充滿動態的能量。

• 乾卦在六十四卦中，是八純卦之一。所謂純卦，是指上下皆為
同一個單卦所組成者。依序出現的有：乾卦（第一卦），
坤卦（第二卦），習坎卦（第二十九卦），離卦（第三十卦），
震卦（第五十一卦），艮卦（第五十二卦），巽卦（第五十七卦），
兌卦（第五十八卦）。

•《易經》有《序卦》，說明六十四卦的排列順序，可供我們理
解各卦之參考。譬如，《序卦》開頭就說：“有天地，然後萬物
生焉。”意思是以乾卦為天，並以坤卦為地。有天地才能化生萬
物。乾代表陽剛勁健的主動力，坤則是承受力，兩者相摩相蕩
而變化生出萬物。

“元享利貞”是本卦的卦辭，附在卦名之後，是對本卦所作
的基本判斷。“元”，原也，萬物由此創始；“享”，通也，萬
物有其共同來源，並且形成一個整體，所以彼此之間通順暢
達；“利”，宜也，萬物變遷執行，對一切都有利而和譜，“貞”，
正也，由此所展現的萬物，可以堅持自身的途徑，進而恆久
不息。"
乾初,乾,,初九：潛龍，勿用。,象曰：潛龍勿用，陽在下也。,,"【白話】
初九。龍潛伏著，不要有所作為。
【解讀】
“初九”是本爻的序位。六爻由下而上的序位依序是初、二、
三、四、五、上。“九”指陽爻，而“六”指陰爻。陽為奇數，
又以動為主，所以取奇數（一、三、五、七、九）之終，表示
動之極。陰為偶數，且以靜為主，所以取偶數（二、四、六、八、
十）之中，表示靜之極。另一說法，則以揲蓍成卦時，得六、七、
八、九四個數字，其中九為老陽（九大於七，七為少陽），六為
老陰（陰數如負數，所以，八為少陰）。《易經》用老不用少，故
稱九與六。
“潛龍勿用”是本爻的爻辭，以下各爻皆有爻辭。“龍”是古
代傳說中的神奇生物，充滿剛健的活力與變化的勢能，可以“乘
2

初九位於地之下，猶如
在深淵之中，所以稱為
“潛龍”，此時不宜有所
作為。正如人在年輕時，
要努力進德修業，培養
實力。
11
乾卦 =
風雲而上天”。爻辭多就本爻所處之位，作一客觀的描述，此為
筮辭；再論斷其出處進退以及吉凶禍福，此為占驗之辭。以位
而言，初、二是地；三、四是人；五、上是天。初九位於地之
下，猶如在深淵之中，所以稱為“潛龍”，此時不宜有所作為。
正如人在年輕時，要努力進德修業，培養實力。"
乾二,乾,,九二：見龍再田，利見大人。,象曰： 見龍再田，德施普也。,,
乾三,乾,,九三：君子終日乾乾，夕惕若，厲無咎。,象曰： 終日乾乾，反復道也。,,
乾四,乾,,九四：或躍在淵，無咎。,象曰： 或躍在淵，進無咎也。,,
乾五,乾,,九五：飛龍在天，利見大人。,象曰：飛龍在天，大人造也。,,
乾上,乾,,上九：亢龍有悔。,象曰：亢龍有悔，盈不可久也。,,
乾用,乾,,用九：見群龍無首，吉。,象曰： 用九，天德不可為首也。,,
坤,坤為地,䷁,坤：元，亨，利牝馬之貞。 君子有攸往，先迷后得主，利西南得朋，東北喪朋。 安貞，吉。,象曰：地勢坤，君子以厚德載物。,彖曰：至哉坤元，萬物資生，乃順承天。 坤厚載物，德合無疆。 含弘光大，品物咸亨。 牝馬地類，行地無疆，柔順利貞。 君子攸行，先迷失道，后順得常。 西南得朋，乃與類行﹔東北喪朋，乃終有慶。安貞之吉，應地無疆。,
坤初,坤,,初六：履霜，堅冰至。,象曰：履霜堅冰，陰始凝也。 馴致其道，至堅冰也。,,
